Country,Capital
ARGENTINA,Buenos Aires
AZERBAIJAN,Baku
BARBADOS,Bridgetown
BELGIUM,Brussels
BELIZE,Belmopan
BRAZIL,Brasilia
BRUNEI,Bandar Seri Begawan
BURUNDI,Bujumbura
CENTRAL AFRICAN REPUBLIC,Bangui
CHINA,Beijing
COLOMBIA,Bogota
GAMBIA,Banjul
GERMANY,Berlin
GUADELOUPE,Basse-Terre
GUINEA-BISSAU,Bissau
HUNGARY,Budapest
IRAQ,Baghdad
KYRGYZSTAN,Bishkek
LEBANON,Beirut
MALI,Bamako
MONTSERRAT,Brades
REPUBLIC OF THE CONGO,Brazzaville
ROMANIA,Bucharest
SAINT KITTS AND NEVIS,Basseterre
SERBIA,Belgrade
SLOVAKIA,Bratislava
SWITZERLAND,Bern
THAILAND,Bangkok
