,label,area,equivalent_diameter,mean_intensity,perimeter
0,1,204775,510.6149505969669,72.07889146624343,6343.1944058580875
1,2,1906,49.262506759859676,218.29433368310598,190.71677477306463
2,3,1038,36.3541283410165,204.4383429672447,148.5685424949238
3,4,2194,52.85345363501752,156.26982680036463,215.85891039679558
4,5,2014,50.63896171029396,199.993545183714,177.43250352560273
5,6,1461,43.130070424914365,185.9110198494182,168.61017305526644
6,7,2219,53.15372564333874,170.9625957638576,212.817279836453
7,8,1837,48.36259963730748,230.38704409363092,184.02438661763952
8,9,1032,36.24890633062862,228.9205426356589,135.76955262170048
9,10,2433,55.65780998512833,189.08343608713523,218.78174593052026
10,11,1374,41.82620153045354,214.34497816593887,167.39696961967
11,12,1632,45.58428388170407,191.9767156862745,196.02438661763952
12,13,1205,39.16955005365611,245.76514522821577,141.6396103067893
13,14,2508,56.509156587192024,153.32535885167465,229.89444430272832
14,15,2086,51.536178460548946,195.96260786193673,244.92997820866108
15,16,1526,44.07906016767892,243.67562254259502,163.12489168102786
16,17,1929,49.5588446374018,217.50907205806118,174.12489168102786
17,18,1284,40.43314946229083,165.8816199376947,150.71067811865476
18,19,2191,52.8173062784798,174.35782747603835,190.3319984622144
19,20,2218,53.141747338816316,170.5293056807935,210.26093065034894
20,21,2209,53.03382085348909,164.46084200995926,203.85891039679558
21,22,2370,54.93248329560876,193.63924050632912,206.29646455628168
22,23,1426,42.61032258493641,249.03295932678822,157.29646455628165
23,24,2056,51.164250253233405,194.09873540856032,181.39696961967
